epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8578680157661438,9.999999747378752e-06,0.3403685986995697,0.9512194991111755,0.17014135420322418
1,0.879187822341919,9.999999747378752e-06,0.3125263452529907,0.9512194991111755,0.15639035403728485
2,0.876142144203186,9.999999747378752e-06,0.2954288423061371,0.9512194991111755,0.14480437338352203
3,0.8832487463951111,9.999999747378752e-06,0.2896251082420349,0.9593495726585388,0.1308605670928955
4,0.8680202960968018,9.999999747378752e-06,0.2829866111278534,0.9593495726585388,0.12081293761730194
5,0.879187822341919,9.999999747378752e-06,0.28582873940467834,0.9593495726585388,0.12464120984077454
6,0.8893401026725769,9.999999747378752e-06,0.2676376700401306,0.9674796462059021,0.11033611744642258
7,0.8984771370887756,9.999999747378752e-06,0.24143482744693756,0.9674796462059021,0.10813684016466141
8,0.8974619507789612,9.999999747378752e-06,0.2481997311115265,0.9674796462059021,0.10071280598640442
9,0.8954314589500427,9.999999747378752e-06,0.24430206418037415,0.9674796462059021,0.09992937743663788
